EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,BusinessTravel,OverTime,MonthlyIncome,PercentSalaryHike,StockOptionLevel,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,StandardHours,EmployeeCount,Over18,Attrition
331,33,Male,Married,3,Medical,Research & Development,Healthcare Representative,1,Travel_Frequently,No,3392,19,2,7,5,11,11,4,4,1,0,1,4,4,4,3,3,80,1,Y,No
332,29,Female,Married,1,Medical,Research & Development,Manager,2,Travel_Frequently,Yes,2325,12,0,15,2,0,0,0,0,0,4,1,2,4,4,4,3,80,1,Y,No
333,43,Male,Married,5,Life Sciences,Sales,Sales Executive,1,Travel_Rarely,No,6195,19,1,1,1,7,7,0,0,1,6,1,1,2,2,2,3,80,1,Y,No
334,30,Male,Divorced,1,Marketing,Sales,Manager,3,Travel_Rarely,No,4770,14,0,4,3,2,2,2,2,1,2,3,2,3,4,3,4,80,1,Y,No
335,26,Female,Single,4,Marketing,Sales,Sales Representative,3,Travel_Rarely,Yes,7098,18,0,5,1,17,9,9,2,1,6,1,3,2,3,3,4,80,1,Y,No
336,38,Female,Single,4,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,No,7916,15,0,14,1,12,5,5,1,3,6,4,2,4,4,3,3,80,1,Y,No
337,25,Female,Married,2,Life Sciences,Human Resources,Human Resources,3,Travel_Rarely,No,10251,23,2,5,4,8,4,4,0,4,4,1,3,3,3,3,3,80,1,Y,No
338,20,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,1,Travel_Rarely,No,5324,16,3,7,1,19,1,1,0,1,3,2,4,2,2,2,3,80,1,Y,Yes
339,38,Male,Married,3,Other,Research & Development,Manager,3,Travel_Rarely,Yes,10521,14,0,14,4,18,7,1,0,7,4,4,2,3,4,3,3,80,1,Y,No
340,21,Male,Married,3,Medical,Sales,Manager,1,Travel_Rarely,No,2736,15,2,7,4,25,25,0,0,7,2,2,4,3,4,3,4,80,1,Y,Yes
341,43,Female,Divorced,4,Medical,Research & Development,Laboratory Technician,2,Travel_Rarely,No,8479,22,1,3,0,12,12,2,0,10,2,2,2,4,1,4,4,80,1,Y,No
342,24,Male,Married,4,Medical,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes,6474,11,1,1,0,0,0,0,0,0,1,3,4,2,4,4,3,80,1,Y,No
343,18,Male,Single,3,Other,Sales,Manager,4,Travel_Frequently,No,5652,25,0,11,2,24,3,1,1,2,5,2,2,3,4,4,3,80,1,Y,Yes
344,34,Male,Married,4,Medical,Research & Development,Manufacturing Director,5,Travel_Rarely,No,6417,22,1,18,3,18,18,8,0,1,4,2,1,2,2,3,3,80,1,Y,No
345,38,Female,Single,5,Life Sciences,Research & Development,Manufacturing Director,1,Travel_Rarely,No,2761,13,0,29,1,15,4,4,1,1,3,2,4,4,1,3,4,80,1,Y,No
346,41,Male,Married,2,Medical,Research & Development,Manager,1,Travel_Rarely,Yes,2396,24,0,23,4,16,7,7,0,4,1,3,3,1,3,2,4,80,1,Y,Yes
347,38,Male,Single,1,Marketing,Research & Development,Manufacturing Director,3,Travel_Rarely,No,13710,14,1,14,0,33,17,0,0,2,1,4,4,3,4,2,3,80,1,Y,Yes
348,27,Male,Married,3,Medical,Sales,Sales Representative,2,Travel_Frequently,No,4441,11,1,9,5,14,14,9,0,3,3,4,2,2,1,4,3,80,1,Y,No
349,43,Female,Single,4,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,No,4403,23,1,13,1,22,4,0,0,1,1,2,4,3,3,3,3,80,1,Y,No
350,45,Female,Divorced,2,Other,Research & Development,Research Scientist,1,Travel_Rarely,No,2536,13,2,5,2,4,4,2,2,1,3,2,1,4,3,4,3,80,1,Y,No
351,26,Male,Married,4,Human Resources,Research & Development,Laboratory Technician,3,Travel_Rarely,No,2020,14,1,8,6,17,2,2,1,1,0,3,1,4,1,3,3,80,1,Y,No
352,35,Male,Married,5,Other,Human Resources,Manager,1,Travel_Frequently,Yes,4661,24,0,3,1,25,8,2,2,6,1,4,2,4,3,3,3,80,1,Y,No
353,34,Male,Single,1,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,No,4003,24,0,3,2,10,2,2,1,2,2,1,4,3,1,3,3,80,1,Y,No
354,38,Male,Divorced,3,Life Sciences,Sales,Sales Representative,1,Travel_Rarely,No,4919,19,1,12,1,2,2,1,0,2,0,2,3,4,3,4,3,80,1,Y,Yes
355,35,Male,Divorced,3,Medical,Sales,Sales Executive,5,Travel_Rarely,No,5178,13,2,5,2,15,3,2,1,3,1,3,3,3,3,3,4,80,1,Y,No
356,36,Female,Single,3,Technical Degree,Research & Development,Research Scientist,1,Travel_Rarely,Yes,20000,21,3,2,3,9,1,0,0,1,3,4,2,4,2,2,3,80,1,Y,No
357,42,Male,Divorced,3,Marketing,Sales,Manager,3,Travel_Rarely,No,4011,13,1,2,4,17,8,7,0,1,0,1,1,3,4,3,3,80,1,Y,No
358,26,Female,Married,4,Technical Degree,Research & Development,Manufacturing Director,1,Travel_Rarely,No,12682,14,1,17,1,7,6,2,0,4,5,2,2,3,2,3,3,80,1,Y,No
359,43,Female,Married,3,Human Resources,Human Resources,Human Resources,2,Travel_Rarely,No,13163,19,1,10,3,30,4,4,3,4,0,2,3,2,3,2,3,80,1,Y,No
360,47,Female,Married,5,Technical Degree,Research & Development,Manufacturing Director,5,Travel_Rarely,Yes,7724,19,0,7,3,11,3,3,2,2,2,1,3,3,4,2,3,80,1,Y,No
361,51,Male,Single,3,Life Sciences,Research & Development,Manager,1,Travel_Rarely,Yes,4268,11,0,4,1,17,16,4,0,1,1,3,3,2,1,3,3,80,1,Y,No
362,18,Male,Divorced,3,Life Sciences,Research & Development,Research Scientist,4,Travel_Rarely,Yes,2171,25,1,5,1,3,0,0,0,0,1,3,4,4,1,2,3,80,1,Y,No
363,35,Male,Married,4,Life Sciences,Research & Development,Healthcare Representative,5,Travel_Rarely,No,6547,18,2,1,2,10,10,1,1,1,3,3,1,3,1,3,3,80,1,Y,No
364,19,Male,Single,3,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes,9056,20,3,5,3,16,16,3,0,11,0,1,2,4,2,3,3,80,1,Y,No
365,18,Female,Divorced,3,Life Sciences,Human Resources,Human Resources,1,Travel_Rarely,Yes,14025,23,0,14,4,4,4,4,1,3,2,1,3,1,4,3,3,80,1,Y,No
366,38,Female,Married,3,Marketing,Research & Development,Healthcare Representative,3,Travel_Frequently,Yes,2779,11,1,4,5,16,5,5,1,1,3,2,3,2,4,3,3,80,1,Y,No
367,33,Male,Single,4,Life Sciences,Human Resources,Human Resources,4,Travel_Rarely,No,4246,12,2,4,5,20,20,0,0,0,5,2,3,4,4,2,3,80,1,Y,No
368,39,Male,Single,3,Marketing,Human Resources,Manager,5,Travel_Rarely,Yes,2789,20,1,1,3,1,1,0,0,1,3,4,4,3,4,3,3,80,1,Y,No
369,41,Female,Married,3,Technical Degree,Sales,Manager,4,Travel_Rarely,No,3360,21,0,5,1,5,5,2,2,4,2,1,3,3,1,3,3,80,1,Y,Yes
370,48,Male,Single,5,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,Yes,7321,15,1,1,2,16,4,4,1,3,1,1,1,4,2,4,3,80,1,Y,Yes
371,37,Male,Divorced,1,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,No,3269,21,1,7,4,16,2,1,0,2,2,2,1,3,1,3,4,80,1,Y,Yes
372,60,Male,Married,3,Life Sciences,Sales,Manager,2,Travel_Rarely,No,2997,23,1,6,1,18,11,4,0,3,1,2,4,2,1,4,3,80,1,Y,No
373,39,Female,Married,3,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,No,7928,25,1,16,3,16,16,10,0,1,4,3,3,4,3,3,3,80,1,Y,No
374,53,Female,Married,1,Medical,Research & Development,Healthcare Representative,3,Non-Travel,No,6441,21,2,7,4,26,10,2,0,10,0,4,1,1,2,2,3,80,1,Y,No
375,18,Female,Married,3,Medical,Sales,Sales Representative,3,Travel_Rarely,No,6063,24,0,3,1,19,1,1,1,1,2,1,1,4,3,3,3,80,1,Y,Yes
376,49,Male,Married,1,Medical,Research & Development,Laboratory Technician,3,Travel_Rarely,No,3321,22,0,6,1,1,0,0,0,0,5,3,3,1,1,3,3,80,1,Y,No
377,35,Female,Divorced,4,Life Sciences,Research & Development,Manager,3,Travel_Frequently,No,10676,23,1,10,6,17,6,2,2,1,5,2,3,3,3,4,3,80,1,Y,No
378,19,Male,Divorced,4,Medical,Sales,Manager,1,Travel_Rarely,No,4957,16,0,1,1,11,0,0,0,0,6,2,1,1,1,2,3,80,1,Y,No
379,40,Male,Married,1,Medical,Research & Development,Manager,2,Travel_Frequently,No,20000,12,3,8,1,9,7,1,0,1,3,4,3,3,3,2,3,80,1,Y,No
380,34,Male,Married,1,Life Sciences,Sales,Manager,2,Travel_Rarely,No,5413,20,0,22,3,11,5,2,0,3,1,2,2,1,2,4,3,80,1,Y,No
381,42,Female,Single,4,Life Sciences,Sales,Manager,1,Travel_Rarely,No,1211,15,0,3,1,7,7,4,1,0,0,3,4,4,2,3,3,80,1,Y,No
382,46,Male,Married,3,Human Resources,Research & Development,Manufacturing Director,2,Travel_Rarely,No,1180,13,2,8,1,19,6,2,2,6,5,2,2,3,2,3,4,80,1,Y,No
383,23,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,5,Non-Travel,No,7146,17,0,15,6,6,3,1,1,3,0,3,4,1,1,3,3,80,1,Y,No
384,46,Male,Married,2,Technical Degree,Human Resources,Manager,2,Travel_Frequently,Yes,10724,22,1,6,5,6,1,1,1,1,2,4,3,3,2,2,3,80,1,Y,No
385,37,Female,Single,2,Life Sciences,Research & Development,Manager,2,Travel_Rarely,Yes,3070,22,1,11,3,17,2,0,0,1,3,4,1,3,1,3,3,80,1,Y,No
386,49,Female,Divorced,2,Life Sciences,Research & Development,Manager,2,Travel_Rarely,No,17336,11,0,3,2,28,5,0,0,2,5,4,3,2,4,4,3,80,1,Y,No
387,35,Female,Married,2,Medical,Sales,Sales Representative,3,Travel_Rarely,Yes,13330,15,2,3,2,7,7,4,4,1,2,3,1,1,1,4,4,80,1,Y,No
388,32,Male,Married,3,Human Resources,Sales,Sales Executive,2,Travel_Rarely,No,5576,22,0,9,0,10,10,8,4,0,3,2,3,3,4,1,3,80,1,Y,No
389,37,Female,Married,4,Technical Degree,Research & Development,Laboratory Technician,2,Travel_Frequently,Yes,6793,13,1,10,3,20,10,1,0,0,4,3,3,1,3,3,3,80,1,Y,No
390,37,Female,Married,3,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,No,8406,21,0,24,3,25,25,0,0,1,2,3,1,1,3,2,3,80,1,Y,No
391,31,Female,Married,3,Human Resources,Human Resources,Human Resources,2,Travel_Rarely,No,15275,12,0,2,4,15,2,2,2,0,6,1,2,2,4,4,3,80,1,Y,No
392,32,Male,Married,3,Medical,Research & Development,Manager,3,Non-Travel,No,7400,22,2,5,0,11,0,0,0,0,1,2,4,3,3,3,3,80,1,Y,No
393,25,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,2,Non-Travel,No,5501,22,1,2,1,15,2,2,1,2,2,4,2,3,2,4,3,80,1,Y,Yes
394,33,Female,Married,2,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,7356,13,0,1,3,13,9,0,0,1,2,3,3,1,1,3,3,80,1,Y,No
395,43,Female,Single,3,Medical,Research & Development,Manager,5,Travel_Rarely,Yes,6784,20,1,4,3,6,4,0,0,2,5,2,2,4,4,4,3,80,1,Y,No
396,35,Male,Married,3,Medical,Human Resources,Human Resources,1,Non-Travel,No,8558,14,1,4,2,16,11,6,0,0,6,4,4,4,1,4,3,80,1,Y,No
397,46,Male,Single,4,Life Sciences,Human Resources,Human Resources,1,Travel_Rarely,No,1915,25,2,2,5,15,5,2,1,0,4,1,3,2,3,3,4,80,1,Y,No
398,35,Female,Divorced,3,Human Resources,Research & Development,Manager,3,Travel_Rarely,No,5940,25,0,3,2,18,18,7,0,5,5,2,3,2,4,3,4,80,1,Y,No
399,24,Male,Married,3,Marketing,Research & Development,Laboratory Technician,3,Travel_Rarely,No,6478,21,2,4,0,20,20,3,0,0,4,3,1,4,3,3,3,80,1,Y,No
400,42,Male,Married,2,Technical Degree,Research & Development,Laboratory Technician,1,Travel_Frequently,No,4704,12,1,29,3,4,0,0,0,0,5,2,1,3,2,2,3,80,1,Y,Yes
401,30,Male,Married,4,Medical,Sales,Sales Executive,3,Travel_Rarely,No,7867,12,1,13,1,14,4,4,1,3,2,3,2,2,1,4,4,80,1,Y,No
402,34,Male,Divorced,4,Medical,Human Resources,Human Resources,1,Travel_Rarely,No,15563,13,3,1,5,14,6,0,0,0,3,1,2,3,1,3,3,80,1,Y,No
403,48,Female,Single,3,Life Sciences,Research & Development,Manager,5,Travel_Rarely,Yes,5339,12,0,18,0,10,2,2,1,2,4,2,3,4,3,2,3,80,1,Y,No
404,26,Male,Married,3,Medical,Research & Development,Laboratory Technician,3,Non-Travel,No,7443,24,0,9,1,3,3,0,0,1,4,1,3,2,3,2,3,80,1,Y,No
405,38,Male,Married,3,Other,Research & Development,Manager,1,Travel_Rarely,No,12884,16,0,19,2,7,7,1,1,1,3,4,2,4,3,3,3,80,1,Y,No
406,36,Male,Single,3,Medical,Human Resources,Human Resources,1,Travel_Frequently,Yes,5415,12,0,3,4,9,1,0,0,0,0,2,3,3,2,4,4,80,1,Y,No
407,43,Female,Single,5,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Rarely,No,2883,11,0,5,1,12,6,0,0,6,6,2,1,3,2,3,3,80,1,Y,No
408,44,Female,Single,4,Life Sciences,Sales,Sales Executive,3,Non-Travel,Yes,7111,18,1,20,3,16,8,8,0,2,4,1,1,4,4,2,3,80,1,Y,No
409,39,Female,Single,3,Other,Human Resources,Human Resources,4,Travel_Frequently,No,1311,20,1,2,3,20,0,0,0,0,4,1,4,2,1,3,3,80,1,Y,No
410,33,Female,Married,3,Life Sciences,Sales,Sales Executive,4,Travel_Frequently,No,1237,25,0,22,2,8,4,4,1,4,3,2,3,3,2,4,3,80,1,Y,No
411,41,Male,Single,1,Technical Degree,Research & Development,Healthcare Representative,2,Non-Travel,No,6001,14,0,15,2,2,2,2,0,2,3,1,3,3,1,1,3,80,1,Y,No
412,49,Female,Married,1,Medical,Human Resources,Human Resources,4,Travel_Rarely,No,1203,12,0,29,2,9,9,3,0,3,2,3,2,3,2,4,3,80,1,Y,Yes
413,36,Female,Single,2,Medical,Human Resources,Human Resources,2,Travel_Rarely,No,2232,14,0,3,0,28,1,0,0,1,6,3,2,2,4,4,3,80,1,Y,Yes
414,34,Female,Single,2,Marketing,Research & Development,Manager,2,Non-Travel,No,3912,21,1,2,0,24,15,2,0,2,2,4,1,3,1,3,4,80,1,Y,No
415,40,Male,Divorced,5,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Frequently,No,3188,12,0,3,1,14,3,3,1,1,0,3,4,2,3,4,3,80,1,Y,No
416,37,Male,Married,3,Medical,Research & Development,Manager,1,Travel_Rarely,No,4497,21,3,27,3,7,1,0,0,1,0,2,3,2,2,2,3,80,1,Y,No
417,24,Female,Single,4,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,No,9582,15,0,3,4,10,4,4,0,4,0,2,1,2,3,4,3,80,1,Y,No
418,39,Male,Married,4,Medical,Research & Development,Healthcare Representative,3,Travel_Rarely,No,5670,17,2,7,1,24,3,1,1,0,1,3,4,3,4,2,3,80,1,Y,No
419,24,Male,Single,4,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes,2970,16,0,4,3,12,3,2,2,3,3,3,3,1,2,3,3,80,1,Y,No
420,40,Female,Single,2,Life Sciences,Research & Development,Healthcare Representative,4,Travel_Rarely,No,11077,12,1,4,2,7,6,3,0,4,4,1,4,3,1,3,3,80,1,Y,No
421,29,Male,Single,3,Technical Degree,Research & Development,Healthcare Representative,1,Travel_Frequently,Yes,2085,21,1,1,0,21,5,5,2,0,3,4,1,2,2,3,4,80,1,Y,Yes
422,37,Female,Divorced,3,Medical,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes,5614,23,1,6,1,1,1,0,0,1,3,1,1,1,3,3,3,80,1,Y,Yes
423,40,Male,Married,5,Life Sciences,Sales,Manager,2,Travel_Rarely,No,1950,14,1,17,0,2,0,0,0,0,0,1,1,2,3,4,3,80,1,Y,No
424,59,Female,Divorced,4,Medical,Research & Development,Research Scientist,2,Travel_Rarely,Yes,5718,18,3,1,2,9,9,3,1,4,3,1,2,2,4,3,3,80,1,Y,Yes
425,43,Male,Divorced,2,Medical,Sales,Sales Executive,5,Travel_Rarely,No,4059,22,1,19,1,19,5,0,0,0,1,4,4,3,1,4,3,80,1,Y,No
426,49,Female,Divorced,3,Medical,Research & Development,Healthcare Representative,2,Travel_Rarely,No,9408,24,1,9,0,6,3,3,0,1,5,3,3,3,4,3,3,80,1,Y,Yes
427,53,Male,Married,3,Human Resources,Research & Development,Manager,2,Travel_Rarely,No,7573,24,2,8,2,11,11,1,1,0,4,4,3,4,1,3,3,80,1,Y,No
428,41,Female,Married,2,Marketing,Human Resources,Manager,2,Travel_Rarely,No,3455,17,1,8,3,5,3,0,0,1,5,2,4,4,1,4,3,80,1,Y,No
429,39,Male,Married,4,Life Sciences,Research & Development,Laboratory Technician,3,Travel_Rarely,No,3079,17,1,3,3,11,11,0,0,2,0,3,2,3,3,4,3,80,1,Y,No
430,27,Male,Single,4,Medical,Sales,Sales Executive,2,Travel_Rarely,Yes,4068,22,0,4,4,10,2,2,2,2,6,2,4,4,4,3,3,80,1,Y,No
431,35,Male,Married,4,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,No,15143,22,2,14,1,12,0,0,0,0,2,4,4,1,2,4,3,80,1,Y,No
432,30,Female,Married,3,Life Sciences,Research & Development,Manager,3,Travel_Rarely,No,12983,14,1,3,4,18,18,2,1,1,6,1,3,3,2,3,3,80,1,Y,No
433,33,Male,Divorced,3,Human Resources,Research & Development,Research Scientist,1,Travel_Rarely,No,2749,11,1,5,2,8,3,0,0,0,6,2,1,3,3,3,3,80,1,Y,No
434,53,Male,Married,3,Medical,Sales,Sales Executive,5,Non-Travel,No,7943,17,0,1,4,11,11,0,0,3,5,1,3,2,4,4,4,80,1,Y,Yes
435,38,Male,Married,4,Human Resources,Sales,Sales Executive,4,Travel_Rarely,No,1739,16,1,11,2,11,2,0,0,2,4,4,2,1,4,4,3,80,1,Y,Yes
436,29,Male,Married,4,Life Sciences,Research & Development,Research Scientist,2,Travel_Rarely,No,3757,18,1,4,2,12,7,2,0,7,5,3,4,2,2,2,3,80,1,Y,No
437,49,Female,Single,1,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,No,2817,21,1,6,6,14,14,1,1,6,2,2,1,3,3,1,3,80,1,Y,No
438,45,Male,Married,3,Life Sciences,Research & Development,Research Scientist,3,Travel_Frequently,Yes,9335,23,0,1,2,0,0,0,0,0,2,2,3,3,2,3,3,80,1,Y,No
439,46,Female,Married,1,Life Sciences,Research & Development,Laboratory Technician,4,Travel_Rarely,No,2265,15,0,29,3,12,12,6,3,0,3,4,3,3,3,4,3,80,1,Y,No
440,18,Male,Married,4,Marketing,Sales,Sales Executive,1,Travel_Rarely,No,6358,18,0,3,2,17,5,3,0,5,4,4,1,3,2,2,3,80,1,Y,No
441,54,Male,Married,2,Medical,Sales,Sales Executive,3,Travel_Rarely,Yes,4916,20,1,9,4,10,6,0,0,0,1,3,2,3,1,4,4,80,1,Y,No
442,31,Male,Single,3,Medical,Human Resources,Manager,1,Travel_Rarely,No,4423,21,0,7,1,20,5,2,2,3,3,2,1,4,4,3,3,80,1,Y,No
443,44,Male,Married,3,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,No,13399,24,1,13,3,15,14,0,0,2,2,1,3,2,3,3,3,80,1,Y,No
444,59,Male,Married,4,Marketing,Research & Development,Laboratory Technician,3,Travel_Rarely,No,14126,18,1,3,1,6,0,0,0,0,5,4,4,4,1,2,3,80,1,Y,No
445,56,Male,Married,3,Human Resources,Research & Development,Healthcare Representative,3,Travel_Frequently,Yes,4506,19,3,12,2,22,2,1,1,0,4,2,2,3,4,4,3,80,1,Y,No
446,28,Female,Married,3,Medical,Human Resources,Manager,2,Travel_Rarely,No,3993,11,0,4,6,14,14,0,0,2,3,2,4,3,3,2,3,80,1,Y,Yes
447,23,Male,Single,3,Technical Degree,Human Resources,Human Resources,2,Travel_Rarely,Yes,1989,13,0,4,1,9,9,0,0,0,4,3,2,3,2,3,3,80,1,Y,No
448,49,Male,Single,3,Medical,Research & Development,Healthcare Representative,3,Travel_Rarely,No,4902,22,1,10,2,13,0,0,0,0,5,4,3,3,3,3,3,80,1,Y,No
449,38,Male,Married,4,Marketing,Research & Development,Manufacturing Director,4,Travel_Frequently,Yes,15866,22,1,13,2,5,5,5,0,4,0,2,4,2,3,3,3,80,1,Y,No
450,32,Male,Married,3,Human Resources,Sales,Manager,2,Travel_Rarely,No,4549,21,0,9,2,10,5,0,0,5,1,3,2,3,2,2,3,80,1,Y,No
451,42,Male,Married,3,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,No,7610,16,1,20,6,3,3,0,0,3,1,4,4,4,4,3,3,80,1,Y,No
452,35,Male,Divorced,3,Medical,Research & Development,Manufacturing Director,4,Travel_Rarely,No,2124,23,1,3,3,11,2,2,2,2,1,2,3,3,3,3,3,80,1,Y,No
453,43,Female,Single,1,Other,Research & Development,Research Scientist,2,Travel_Rarely,Yes,3786,14,0,20,3,14,8,3,0,0,2,2,2,1,4,3,3,80,1,Y,Yes
454,37,Female,Single,4,Medical,Human Resources,Human Resources,1,Travel_Frequently,No,6486,18,0,1,2,16,1,0,0,0,2,4,4,1,3,2,3,80,1,Y,No
455,43,Female,Married,2,Technical Degree,Sales,Sales Executive,3,Travel_Frequently,No,5237,20,2,9,3,11,11,1,0,0,1,4,1,4,3,4,3,80,1,Y,No
456,28,Male,Married,4,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Rarely,No,8061,24,0,7,5,11,11,1,1,11,4,4,1,1,1,3,3,80,1,Y,No
457,49,Male,Married,3,Medical,Sales,Manager,2,Travel_Rarely,No,3423,24,0,6,2,14,3,0,0,2,0,3,3,1,3,4,3,80,1,Y,No
458,43,Female,Divorced,3,Human Resources,Research & Development,Manager,4,Travel_Rarely,No,1719,11,0,3,3,7,2,1,1,2,2,2,4,3,3,3,4,80,1,Y,No
459,42,Female,Divorced,2,Medical,Sales,Manager,2,Travel_Rarely,No,9635,25,1,6,2,6,2,0,0,2,5,4,4,4,1,4,3,80,1,Y,No
460,26,Male,Single,1,Medical,Sales,Sales Executive,1,Travel_Rarely,Yes,2802,22,1,1,3,10,4,4,4,3,3,2,1,2,3,3,3,80,1,Y,No
461,52,Male,Divorced,3,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,Yes,6660,15,0,4,1,9,8,8,0,8,3,4,4,3,1,3,3,80,1,Y,Yes
462,36,Male,Single,3,Life Sciences,Research & Development,Manager,1,Travel_Rarely,No,6441,24,0,1,4,13,3,3,3,1,2,4,3,3,4,3,3,80,1,Y,No
463,43,Female,Married,1,Medical,Research & Development,Manager,2,Travel_Frequently,Yes,1811,14,0,7,2,14,6,1,0,2,1,3,4,1,4,3,4,80,1,Y,No
464,34,Female,Married,4,Technical Degree,Research & Development,Research Scientist,2,Travel_Rarely,No,9223,22,1,1,2,18,3,3,2,3,4,4,2,4,3,3,4,80,1,Y,No
465,39,Male,Married,3,Human Resources,Human Resources,Human Resources,3,Non-Travel,No,3498,11,0,1,4,8,2,2,0,2,0,4,3,3,1,3,3,80,1,Y,No
466,39,Male,Single,2,Medical,Research & Development,Manufacturing Director,3,Travel_Frequently,No,5079,20,2,1,1,18,0,0,0,0,3,1,4,3,3,4,4,80,1,Y,No
467,18,Male,Married,4,Technical Degree,Sales,Sales Executive,2,Travel_Rarely,Yes,3964,16,0,4,1,15,0,0,0,0,2,3,2,4,3,3,3,80,1,Y,No
468,42,Male,Married,5,Marketing,Human Resources,Human Resources,1,Travel_Rarely,Yes,13011,25,0,16,2,17,1,1,0,1,4,1,4,4,4,2,4,80,1,Y,No
469,54,Male,Single,2,Marketing,Sales,Manager,2,Non-Travel,No,11004,20,0,21,2,3,3,1,1,0,1,3,2,3,1,4,3,80,1,Y,No
470,41,Female,Single,4,Marketing,Human Resources,Manager,3,Travel_Frequently,No,1656,23,2,1,1,13,13,2,0,9,0,1,2,2,4,3,3,80,1,Y,No
471,28,Male,Married,3,Medical,Sales,Manager,1,Travel_Rarely,No,19059,25,1,9,0,26,11,1,1,0,0,2,4,4,1,3,4,80,1,Y,No
472,42,Female,Married,5,Medical,Human Resources,Manager,3,Travel_Rarely,Yes,3271,13,3,10,5,2,2,0,0,2,3,4,4,3,4,4,3,80,1,Y,No
473,46,Male,Married,2,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,Yes,17351,21,0,6,4,25,1,1,1,1,6,4,2,4,4,4,3,80,1,Y,No
474,41,Female,Single,5,Technical Degree,Human Resources,Human Resources,4,Non-Travel,Yes,4214,25,0,9,2,24,1,1,0,1,3,2,1,4,4,2,3,80,1,Y,Yes
475,36,Female,Divorced,3,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Frequently,No,4005,21,1,2,4,16,2,2,2,2,5,3,4,2,3,1,4,80,1,Y,No
476,34,Male,Single,3,Life Sciences,Human Resources,Human Resources,4,Non-Travel,No,4236,15,1,6,3,4,4,4,4,4,2,3,4,4,3,1,3,80,1,Y,No
477,34,Female,Divorced,3,Medical,Sales,Sales Representative,3,Travel_Frequently,Yes,3864,16,1,4,1,9,4,1,1,4,6,4,3,3,4,3,3,80,1,Y,No
478,43,Male,Married,2,Other,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes,20000,14,0,1,2,17,1,0,0,1,0,3,3,3,3,3,3,80,1,Y,No
479,24,Male,Married,3,Technical Degree,Human Resources,Human Resources,3,Travel_Rarely,No,4694,20,0,8,1,0,0,0,0,0,1,3,4,1,2,3,3,80,1,Y,No
480,33,Male,Divorced,3,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Rarely,No,4099,20,0,6,1,16,0,0,0,0,1,4,1,4,4,3,3,80,1,Y,No
481,51,Male,Single,2,Marketing,Research & Development,Manufacturing Director,3,Travel_Rarely,No,5147,22,1,2,4,11,1,1,1,0,6,2,4,3,2,3,3,80,1,Y,No
482,51,Female,Single,2,Human Resources,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes,2750,16,1,5,3,8,8,0,0,0,2,4,2,3,3,2,3,80,1,Y,Yes
483,23,Male,Married,3,Medical,Research & Development,Healthcare Representative,1,Non-Travel,No,12813,17,1,13,2,2,1,1,1,1,0,4,3,4,2,4,3,80,1,Y,No
484,26,Female,Single,3,Medical,Research & Development,Manufacturing Director,2,Non-Travel,No,2033,12,0,14,2,22,4,0,0,2,3,4,3,3,1,4,3,80,1,Y,No
485,34,Female,Married,3,Medical,Research & Development,Manufacturing Director,1,Travel_Rarely,Yes,3400,24,1,9,3,17,6,6,1,5,5,2,3,3,3,2,3,80,1,Y,No
486,45,Male,Single,3,Life Sciences,Human Resources,Manager,3,Travel_Rarely,Yes,8621,25,0,5,2,15,15,4,0,0,1,2,3,4,3,2,3,80,1,Y,No
