EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,BusinessTravel,OverTime,MonthlyIncome,PercentSalaryHike,StockOptionLevel,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,Attrition,AttritionBinary,AgeBand,SalaryBand,TenureBand,JobSatisfactionLabel,WLBLabel,RiskScore,RiskCategory
292,41,Male,Divorced,3,Other,Sales,Sales Representative,3,Travel_Rarely,Yes,3051,11,1,7,3,11,9,0,0,3,5,3,4,3,4,3,3,No,0,36-45,Mid (3-6K),6-10 yrs,3-High,3-Better,1,Low Risk
293,38,Male,Single,3,Technical Degree,Research & Development,Manufacturing Director,2,Non-Travel,No,5305,22,1,10,2,22,0,0,0,0,5,2,3,4,2,4,3,No,0,36-45,Mid (3-6K),0-2 yrs,2-Medium,4-Best,2,Medium Risk
294,45,Female,Single,3,Other,Research & Development,Healthcare Representative,3,Travel_Rarely,No,4298,19,1,1,3,19,3,1,0,3,3,4,2,3,3,4,3,No,0,36-45,Mid (3-6K),3-5 yrs,4-Very High,3-Better,0,Low Risk
295,31,Male,Married,5,Life Sciences,Sales,Sales Representative,3,Travel_Rarely,No,2737,18,0,1,3,13,13,0,0,7,6,2,1,1,3,3,3,No,0,26-35,Low (<3K),10+ yrs,2-Medium,1-Bad,3,Medium Risk
296,29,Male,Single,3,Human Resources,Research & Development,Research Scientist,2,Travel_Rarely,No,7825,12,0,7,5,11,1,1,1,1,1,3,3,2,2,3,4,No,0,26-35,High (6-10K),0-2 yrs,3-High,2-Good,3,Medium Risk
297,43,Male,Married,3,Life Sciences,Research & Development,Manager,3,Travel_Rarely,No,5824,24,1,2,2,6,0,0,0,0,3,1,1,2,2,3,4,Yes,1,36-45,Mid (3-6K),0-2 yrs,1-Low,2-Good,3,Medium Risk
298,22,Male,Married,4,Life Sciences,Sales,Manager,1,Travel_Rarely,No,5439,12,1,4,1,26,2,1,1,0,0,1,2,4,2,3,3,No,0,18-25,Mid (3-6K),0-2 yrs,1-Low,4-Best,2,Medium Risk
299,37,Male,Divorced,4,Medical,Research & Development,Laboratory Technician,3,Travel_Rarely,Yes,4209,18,3,4,4,5,1,1,1,1,1,2,3,4,4,2,3,No,0,36-45,Mid (3-6K),0-2 yrs,2-Medium,4-Best,3,Medium Risk
300,34,Male,Married,2,Medical,Sales,Manager,2,Non-Travel,No,3916,22,0,1,4,18,18,3,0,11,6,3,4,4,4,3,3,No,0,26-35,Mid (3-6K),10+ yrs,3-High,4-Best,1,Low Risk
301,24,Male,Single,3,Human Resources,Sales,Sales Representative,1,Travel_Rarely,Yes,2966,21,0,1,2,14,14,3,0,4,4,3,1,4,4,3,3,No,0,18-25,Low (<3K),10+ yrs,3-High,4-Best,2,Medium Risk
302,28,Male,Married,3,Medical,Research & Development,Manufacturing Director,3,Travel_Rarely,No,8606,18,0,17,2,15,4,3,0,2,1,2,3,3,3,4,3,No,0,26-35,High (6-10K),3-5 yrs,2-Medium,3-Better,3,Medium Risk
303,36,Female,Single,2,Human Resources,Research & Development,Laboratory Technician,4,Travel_Rarely,Yes,3222,11,1,11,5,16,0,0,0,0,2,1,1,4,2,3,3,Yes,1,36-45,Mid (3-6K),0-2 yrs,1-Low,4-Best,3,Medium Risk
304,46,Female,Single,3,Life Sciences,Research & Development,Healthcare Representative,1,Travel_Rarely,No,5572,24,0,10,5,17,8,0,0,5,1,2,3,4,4,4,3,No,0,46-60,Mid (3-6K),6-10 yrs,2-Medium,4-Best,2,Medium Risk
305,31,Female,Married,1,Technical Degree,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,13322,15,2,7,5,16,6,6,6,6,2,3,3,3,2,4,3,No,0,26-35,Very High (>10K),6-10 yrs,3-High,3-Better,1,Low Risk
306,47,Female,Single,2,Marketing,Human Resources,Manager,2,Travel_Rarely,No,4026,25,0,10,2,24,24,2,2,4,3,3,4,2,3,3,3,No,0,46-60,Mid (3-6K),10+ yrs,3-High,2-Good,2,Medium Risk
307,37,Male,Married,5,Marketing,Research & Development,Laboratory Technician,2,Travel_Rarely,No,8746,21,2,24,2,6,5,4,0,3,1,1,3,3,2,3,3,No,0,36-45,High (6-10K),3-5 yrs,1-Low,3-Better,2,Medium Risk
308,48,Male,Married,1,Life Sciences,Research & Development,Research Scientist,2,Travel_Rarely,No,6913,12,1,9,3,11,2,2,2,0,1,1,2,2,4,3,3,No,0,46-60,High (6-10K),0-2 yrs,1-Low,2-Good,3,Medium Risk
309,31,Male,Divorced,3,Technical Degree,Research & Development,Laboratory Technician,3,Non-Travel,No,5924,11,2,2,1,6,5,0,0,1,4,4,2,1,1,2,3,No,0,26-35,Mid (3-6K),3-5 yrs,4-Very High,1-Bad,1,Low Risk
310,36,Male,Married,3,Medical,Sales,Sales Executive,5,Travel_Frequently,No,6362,13,0,7,1,27,27,6,0,5,0,1,1,4,1,3,3,No,0,36-45,High (6-10K),10+ yrs,1-Low,4-Best,2,Medium Risk
311,40,Female,Single,3,Marketing,Research & Development,Manager,2,Travel_Rarely,No,4642,25,1,5,2,8,8,0,0,0,1,1,3,4,4,4,3,No,0,36-45,Mid (3-6K),6-10 yrs,1-Low,4-Best,1,Low Risk
312,35,Female,Married,2,Medical,Sales,Sales Representative,1,Travel_Frequently,No,5018,23,0,7,9,27,7,7,7,4,3,1,4,2,1,4,3,No,0,26-35,Mid (3-6K),6-10 yrs,1-Low,2-Good,3,Medium Risk
313,45,Male,Single,3,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,Yes,3537,13,0,6,5,23,1,0,0,1,2,2,3,3,4,3,3,No,0,36-45,Mid (3-6K),0-2 yrs,2-Medium,3-Better,4,High Risk
314,18,Male,Married,4,Life Sciences,Human Resources,Manager,3,Travel_Frequently,No,5038,23,0,17,2,9,9,2,2,1,3,3,4,4,2,3,3,No,0,18-25,Mid (3-6K),6-10 yrs,3-High,4-Best,2,Medium Risk
315,58,Male,Single,3,Life Sciences,Research & Development,Research Scientist,3,Travel_Rarely,Yes,3459,20,1,9,2,9,9,0,0,0,6,3,2,3,4,3,3,No,0,46-60,Mid (3-6K),6-10 yrs,3-High,3-Better,1,Low Risk
316,44,Male,Single,3,Human Resources,Research & Development,Manager,1,Travel_Rarely,Yes,8985,19,0,1,1,6,2,2,0,2,5,2,3,3,3,3,3,No,0,36-45,High (6-10K),0-2 yrs,2-Medium,3-Better,4,High Risk
317,35,Male,Married,3,Medical,Research & Development,Healthcare Representative,2,Travel_Frequently,No,1772,20,2,1,3,18,4,4,0,0,5,3,2,3,3,3,3,No,0,26-35,Low (<3K),3-5 yrs,3-High,3-Better,0,Low Risk
318,32,Male,Married,1,Technical Degree,Sales,Manager,2,Travel_Rarely,No,6559,11,0,4,3,2,2,0,0,1,4,1,1,4,4,3,3,No,0,26-35,High (6-10K),0-2 yrs,1-Low,4-Best,3,Medium Risk
319,29,Male,Married,3,Medical,Sales,Manager,3,Travel_Frequently,No,6014,21,0,1,5,15,2,1,1,2,5,4,2,4,3,4,3,No,0,26-35,High (6-10K),0-2 yrs,4-Very High,4-Best,2,Medium Risk
320,42,Female,Married,1,Other,Sales,Sales Executive,1,Travel_Rarely,No,5696,12,0,3,0,15,0,0,0,0,1,3,4,3,3,4,3,No,0,36-45,Mid (3-6K),0-2 yrs,3-High,3-Better,2,Medium Risk
321,45,Male,Married,3,Life Sciences,Research & Development,Research Scientist,4,Travel_Rarely,Yes,9087,19,1,4,1,11,2,2,0,2,6,3,2,2,2,3,3,No,0,36-45,High (6-10K),0-2 yrs,3-High,2-Good,3,Medium Risk
322,35,Male,Married,4,Life Sciences,Research & Development,Manager,2,Travel_Rarely,Yes,4139,24,0,4,5,10,5,1,1,3,0,2,3,4,1,2,3,Yes,1,26-35,Mid (3-6K),3-5 yrs,2-Medium,4-Best,3,Medium Risk
323,46,Female,Married,3,Technical Degree,Research & Development,Manager,4,Non-Travel,No,5728,15,2,29,3,3,0,0,0,0,0,1,4,1,4,3,3,No,0,46-60,Mid (3-6K),0-2 yrs,1-Low,1-Bad,4,High Risk
324,28,Female,Single,3,Marketing,Sales,Sales Representative,2,Travel_Rarely,No,1754,19,1,3,2,16,2,0,0,2,1,3,2,3,1,3,4,No,0,26-35,Low (<3K),0-2 yrs,3-High,3-Better,1,Low Risk
325,27,Female,Married,1,Medical,Human Resources,Manager,3,Travel_Rarely,Yes,3830,16,2,2,1,14,14,5,0,3,0,3,4,2,2,4,4,Yes,1,26-35,Mid (3-6K),10+ yrs,3-High,2-Good,2,Medium Risk
326,53,Male,Married,4,Life Sciences,Research & Development,Manager,5,Travel_Rarely,No,8212,20,0,1,3,7,6,3,3,3,3,1,2,3,3,2,4,No,0,46-60,High (6-10K),6-10 yrs,1-Low,3-Better,2,Medium Risk
327,42,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,5,Non-Travel,No,2200,20,0,6,3,6,6,5,2,2,2,4,2,3,3,3,3,No,0,36-45,Low (<3K),6-10 yrs,4-Very High,3-Better,1,Low Risk
328,49,Male,Single,5,Medical,Research & Development,Healthcare Representative,5,Travel_Frequently,No,5409,13,1,1,4,3,3,3,3,1,1,4,2,2,2,3,3,No,0,46-60,Mid (3-6K),3-5 yrs,4-Very High,2-Good,1,Low Risk
329,29,Male,Single,2,Medical,Research & Development,Research Scientist,1,Travel_Rarely,No,3273,18,2,8,3,13,7,0,0,2,5,3,2,4,4,3,3,No,0,26-35,Mid (3-6K),6-10 yrs,3-High,4-Best,0,Low Risk
330,28,Male,Married,5,Medical,Sales,Manager,2,Non-Travel,No,4598,23,0,1,2,9,1,1,1,1,2,4,4,1,2,3,3,No,0,26-35,Mid (3-6K),0-2 yrs,4-Very High,1-Bad,3,Medium Risk
331,33,Male,Married,3,Medical,Research & Development,Healthcare Representative,1,Travel_Frequently,No,3392,19,2,7,5,11,11,4,4,1,0,1,4,4,4,3,3,No,0,26-35,Mid (3-6K),10+ yrs,1-Low,4-Best,1,Low Risk
332,29,Female,Married,1,Medical,Research & Development,Manager,2,Travel_Frequently,Yes,2325,12,0,15,2,0,0,0,0,0,4,1,2,4,4,4,3,No,0,26-35,Low (<3K),0-2 yrs,1-Low,4-Best,4,High Risk
333,43,Male,Married,5,Life Sciences,Sales,Sales Executive,1,Travel_Rarely,No,6195,19,1,1,1,7,7,0,0,1,6,1,1,2,2,2,3,No,0,36-45,High (6-10K),6-10 yrs,1-Low,2-Good,2,Medium Risk
334,30,Male,Divorced,1,Marketing,Sales,Manager,3,Travel_Rarely,No,4770,14,0,4,3,2,2,2,2,1,2,3,2,3,4,3,4,No,0,26-35,Mid (3-6K),0-2 yrs,3-High,3-Better,2,Medium Risk
335,26,Female,Single,4,Marketing,Sales,Sales Representative,3,Travel_Rarely,Yes,7098,18,0,5,1,17,9,9,2,1,6,1,3,2,3,3,4,No,0,26-35,High (6-10K),6-10 yrs,1-Low,2-Good,4,High Risk
336,38,Female,Single,4,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,No,7916,15,0,14,1,12,5,5,1,3,6,4,2,4,4,3,3,No,0,36-45,High (6-10K),3-5 yrs,4-Very High,4-Best,1,Low Risk
337,25,Female,Married,2,Life Sciences,Human Resources,Human Resources,3,Travel_Rarely,No,10251,23,2,5,4,8,4,4,0,4,4,1,3,3,3,3,3,No,0,18-25,Very High (>10K),3-5 yrs,1-Low,3-Better,1,Low Risk
338,20,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,1,Travel_Rarely,No,5324,16,3,7,1,19,1,1,0,1,3,2,4,2,2,2,3,Yes,1,18-25,Mid (3-6K),0-2 yrs,2-Medium,2-Good,3,Medium Risk
339,38,Male,Married,3,Other,Research & Development,Manager,3,Travel_Rarely,Yes,10521,14,0,14,4,18,7,1,0,7,4,4,2,3,4,3,3,No,0,36-45,Very High (>10K),6-10 yrs,4-Very High,3-Better,2,Medium Risk
340,21,Male,Married,3,Medical,Sales,Manager,1,Travel_Rarely,No,2736,15,2,7,4,25,25,0,0,7,2,2,4,3,4,3,4,Yes,1,18-25,Low (<3K),10+ yrs,2-Medium,3-Better,1,Low Risk
341,43,Female,Divorced,4,Medical,Research & Development,Laboratory Technician,2,Travel_Rarely,No,8479,22,1,3,0,12,12,2,0,10,2,2,2,4,1,4,4,No,0,36-45,High (6-10K),10+ yrs,2-Medium,4-Best,1,Low Risk
342,24,Male,Married,4,Medical,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes,6474,11,1,1,0,0,0,0,0,0,1,3,4,2,4,4,3,No,0,18-25,High (6-10K),0-2 yrs,3-High,2-Good,3,Medium Risk
343,18,Male,Single,3,Other,Sales,Manager,4,Travel_Frequently,No,5652,25,0,11,2,24,3,1,1,2,5,2,2,3,4,4,3,Yes,1,18-25,Mid (3-6K),3-5 yrs,2-Medium,3-Better,2,Medium Risk
344,34,Male,Married,4,Medical,Research & Development,Manufacturing Director,5,Travel_Rarely,No,6417,22,1,18,3,18,18,8,0,1,4,2,1,2,2,3,3,No,0,26-35,High (6-10K),10+ yrs,2-Medium,2-Good,3,Medium Risk
345,38,Female,Single,5,Life Sciences,Research & Development,Manufacturing Director,1,Travel_Rarely,No,2761,13,0,29,1,15,4,4,1,1,3,2,4,4,1,3,4,No,0,36-45,Low (<3K),3-5 yrs,2-Medium,4-Best,3,Medium Risk
346,41,Male,Married,2,Medical,Research & Development,Manager,1,Travel_Rarely,Yes,2396,24,0,23,4,16,7,7,0,4,1,3,3,1,3,2,4,Yes,1,36-45,Low (<3K),6-10 yrs,3-High,1-Bad,4,High Risk
347,38,Male,Single,1,Marketing,Research & Development,Manufacturing Director,3,Travel_Rarely,No,13710,14,1,14,0,33,17,0,0,2,1,4,4,3,4,2,3,Yes,1,36-45,Very High (>10K),10+ yrs,4-Very High,3-Better,0,Low Risk
348,27,Male,Married,3,Medical,Sales,Sales Representative,2,Travel_Frequently,No,4441,11,1,9,5,14,14,9,0,3,3,4,2,2,1,4,3,No,0,26-35,Mid (3-6K),10+ yrs,4-Very High,2-Good,1,Low Risk
349,43,Female,Single,4,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,No,4403,23,1,13,1,22,4,0,0,1,1,2,4,3,3,3,3,No,0,36-45,Mid (3-6K),3-5 yrs,2-Medium,3-Better,1,Low Risk
350,45,Female,Divorced,2,Other,Research & Development,Research Scientist,1,Travel_Rarely,No,2536,13,2,5,2,4,4,2,2,1,3,2,1,4,3,4,3,No,0,36-45,Low (<3K),3-5 yrs,2-Medium,4-Best,1,Low Risk
351,26,Male,Married,4,Human Resources,Research & Development,Laboratory Technician,3,Travel_Rarely,No,2020,14,1,8,6,17,2,2,1,1,0,3,1,4,1,3,3,No,0,26-35,Low (<3K),0-2 yrs,3-High,4-Best,1,Low Risk
352,35,Male,Married,5,Other,Human Resources,Manager,1,Travel_Frequently,Yes,4661,24,0,3,1,25,8,2,2,6,1,4,2,4,3,3,3,No,0,26-35,Mid (3-6K),6-10 yrs,4-Very High,4-Best,2,Medium Risk
353,34,Male,Single,1,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,No,4003,24,0,3,2,10,2,2,1,2,2,1,4,3,1,3,3,No,0,26-35,Mid (3-6K),0-2 yrs,1-Low,3-Better,3,Medium Risk
354,38,Male,Divorced,3,Life Sciences,Sales,Sales Representative,1,Travel_Rarely,No,4919,19,1,12,1,2,2,1,0,2,0,2,3,4,3,4,3,Yes,1,36-45,Mid (3-6K),0-2 yrs,2-Medium,4-Best,2,Medium Risk
355,35,Male,Divorced,3,Medical,Sales,Sales Executive,5,Travel_Rarely,No,5178,13,2,5,2,15,3,2,1,3,1,3,3,3,3,3,4,No,0,26-35,Mid (3-6K),3-5 yrs,3-High,3-Better,0,Low Risk
356,36,Female,Single,3,Technical Degree,Research & Development,Research Scientist,1,Travel_Rarely,Yes,20000,21,3,2,3,9,1,0,0,1,3,4,2,4,2,2,3,No,0,36-45,Very High (>10K),0-2 yrs,4-Very High,4-Best,2,Medium Risk
357,42,Male,Divorced,3,Marketing,Sales,Manager,3,Travel_Rarely,No,4011,13,1,2,4,17,8,7,0,1,0,1,1,3,4,3,3,No,0,36-45,Mid (3-6K),6-10 yrs,1-Low,3-Better,1,Low Risk
358,26,Female,Married,4,Technical Degree,Research & Development,Manufacturing Director,1,Travel_Rarely,No,12682,14,1,17,1,7,6,2,0,4,5,2,2,3,2,3,3,No,0,26-35,Very High (>10K),6-10 yrs,2-Medium,3-Better,2,Medium Risk
359,43,Female,Married,3,Human Resources,Human Resources,Human Resources,2,Travel_Rarely,No,13163,19,1,10,3,30,4,4,3,4,0,2,3,2,3,2,3,No,0,36-45,Very High (>10K),3-5 yrs,2-Medium,2-Good,2,Medium Risk
360,47,Female,Married,5,Technical Degree,Research & Development,Manufacturing Director,5,Travel_Rarely,Yes,7724,19,0,7,3,11,3,3,2,2,2,1,3,3,4,2,3,No,0,46-60,High (6-10K),3-5 yrs,1-Low,3-Better,3,Medium Risk
361,51,Male,Single,3,Life Sciences,Research & Development,Manager,1,Travel_Rarely,Yes,4268,11,0,4,1,17,16,4,0,1,1,3,3,2,1,3,3,No,0,46-60,Mid (3-6K),10+ yrs,3-High,2-Good,3,Medium Risk
362,18,Male,Divorced,3,Life Sciences,Research & Development,Research Scientist,4,Travel_Rarely,Yes,2171,25,1,5,1,3,0,0,0,0,1,3,4,4,1,2,3,No,0,18-25,Low (<3K),0-2 yrs,3-High,4-Best,2,Medium Risk
363,35,Male,Married,4,Life Sciences,Research & Development,Healthcare Representative,5,Travel_Rarely,No,6547,18,2,1,2,10,10,1,1,1,3,3,1,3,1,3,3,No,0,26-35,High (6-10K),6-10 yrs,3-High,3-Better,0,Low Risk
364,19,Male,Single,3,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes,9056,20,3,5,3,16,16,3,0,11,0,1,2,4,2,3,3,No,0,18-25,High (6-10K),10+ yrs,1-Low,4-Best,2,Medium Risk
365,18,Female,Divorced,3,Life Sciences,Human Resources,Human Resources,1,Travel_Rarely,Yes,14025,23,0,14,4,4,4,4,1,3,2,1,3,1,4,3,3,No,0,18-25,Very High (>10K),3-5 yrs,1-Low,1-Bad,4,High Risk
366,38,Female,Married,3,Marketing,Research & Development,Healthcare Representative,3,Travel_Frequently,Yes,2779,11,1,4,5,16,5,5,1,1,3,2,3,2,4,3,3,No,0,36-45,Low (<3K),3-5 yrs,2-Medium,2-Good,3,Medium Risk
367,33,Male,Single,4,Life Sciences,Human Resources,Human Resources,4,Travel_Rarely,No,4246,12,2,4,5,20,20,0,0,0,5,2,3,4,4,2,3,No,0,26-35,Mid (3-6K),10+ yrs,2-Medium,4-Best,1,Low Risk
368,39,Male,Single,3,Marketing,Human Resources,Manager,5,Travel_Rarely,Yes,2789,20,1,1,3,1,1,0,0,1,3,4,4,3,4,3,3,No,0,36-45,Low (<3K),0-2 yrs,4-Very High,3-Better,2,Medium Risk
369,41,Female,Married,3,Technical Degree,Sales,Manager,4,Travel_Rarely,No,3360,21,0,5,1,5,5,2,2,4,2,1,3,3,1,3,3,Yes,1,36-45,Mid (3-6K),3-5 yrs,1-Low,3-Better,2,Medium Risk
370,48,Male,Single,5,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,Yes,7321,15,1,1,2,16,4,4,1,3,1,1,1,4,2,4,3,Yes,1,46-60,High (6-10K),3-5 yrs,1-Low,4-Best,2,Medium Risk
371,37,Male,Divorced,1,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,No,3269,21,1,7,4,16,2,1,0,2,2,2,1,3,1,3,4,Yes,1,36-45,Mid (3-6K),0-2 yrs,2-Medium,3-Better,2,Medium Risk
372,60,Male,Married,3,Life Sciences,Sales,Manager,2,Travel_Rarely,No,2997,23,1,6,1,18,11,4,0,3,1,2,4,2,1,4,3,No,0,46-60,Low (<3K),10+ yrs,2-Medium,2-Good,2,Medium Risk
373,39,Female,Married,3,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,No,7928,25,1,16,3,16,16,10,0,1,4,3,3,4,3,3,3,No,0,36-45,High (6-10K),10+ yrs,3-High,4-Best,1,Low Risk
374,53,Female,Married,1,Medical,Research & Development,Healthcare Representative,3,Non-Travel,No,6441,21,2,7,4,26,10,2,0,10,0,4,1,1,2,2,3,No,0,46-60,High (6-10K),6-10 yrs,4-Very High,1-Bad,1,Low Risk
375,18,Female,Married,3,Medical,Sales,Sales Representative,3,Travel_Rarely,No,6063,24,0,3,1,19,1,1,1,1,2,1,1,4,3,3,3,Yes,1,18-25,High (6-10K),0-2 yrs,1-Low,4-Best,3,Medium Risk
376,49,Male,Married,1,Medical,Research & Development,Laboratory Technician,3,Travel_Rarely,No,3321,22,0,6,1,1,0,0,0,0,5,3,3,1,1,3,3,No,0,46-60,Mid (3-6K),0-2 yrs,3-High,1-Bad,3,Medium Risk
377,35,Female,Divorced,4,Life Sciences,Research & Development,Manager,3,Travel_Frequently,No,10676,23,1,10,6,17,6,2,2,1,5,2,3,3,3,4,3,No,0,26-35,Very High (>10K),6-10 yrs,2-Medium,3-Better,1,Low Risk
378,19,Male,Divorced,4,Medical,Sales,Manager,1,Travel_Rarely,No,4957,16,0,1,1,11,0,0,0,0,6,2,1,1,1,2,3,No,0,18-25,Mid (3-6K),0-2 yrs,2-Medium,1-Bad,4,High Risk
379,40,Male,Married,1,Medical,Research & Development,Manager,2,Travel_Frequently,No,20000,12,3,8,1,9,7,1,0,1,3,4,3,3,3,2,3,No,0,36-45,Very High (>10K),6-10 yrs,4-Very High,3-Better,0,Low Risk
380,34,Male,Married,1,Life Sciences,Sales,Manager,2,Travel_Rarely,No,5413,20,0,22,3,11,5,2,0,3,1,2,2,1,2,4,3,No,0,26-35,Mid (3-6K),3-5 yrs,2-Medium,1-Bad,4,High Risk
381,42,Female,Single,4,Life Sciences,Sales,Manager,1,Travel_Rarely,No,1211,15,0,3,1,7,7,4,1,0,0,3,4,4,2,3,3,No,0,36-45,Low (<3K),6-10 yrs,3-High,4-Best,1,Low Risk
382,46,Male,Married,3,Human Resources,Research & Development,Manufacturing Director,2,Travel_Rarely,No,1180,13,2,8,1,19,6,2,2,6,5,2,2,3,2,3,4,No,0,46-60,Low (<3K),6-10 yrs,2-Medium,3-Better,1,Low Risk
383,23,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,5,Non-Travel,No,7146,17,0,15,6,6,3,1,1,3,0,3,4,1,1,3,3,No,0,18-25,High (6-10K),3-5 yrs,3-High,1-Bad,2,Medium Risk
384,46,Male,Married,2,Technical Degree,Human Resources,Manager,2,Travel_Frequently,Yes,10724,22,1,6,5,6,1,1,1,1,2,4,3,3,2,2,3,No,0,46-60,Very High (>10K),0-2 yrs,4-Very High,3-Better,2,Medium Risk
385,37,Female,Single,2,Life Sciences,Research & Development,Manager,2,Travel_Rarely,Yes,3070,22,1,11,3,17,2,0,0,1,3,4,1,3,1,3,3,No,0,36-45,Mid (3-6K),0-2 yrs,4-Very High,3-Better,2,Medium Risk
386,49,Female,Divorced,2,Life Sciences,Research & Development,Manager,2,Travel_Rarely,No,17336,11,0,3,2,28,5,0,0,2,5,4,3,2,4,4,3,No,0,46-60,Very High (>10K),3-5 yrs,4-Very High,2-Good,2,Medium Risk
387,35,Female,Married,2,Medical,Sales,Sales Representative,3,Travel_Rarely,Yes,13330,15,2,3,2,7,7,4,4,1,2,3,1,1,1,4,4,No,0,26-35,Very High (>10K),6-10 yrs,3-High,1-Bad,2,Medium Risk
388,32,Male,Married,3,Human Resources,Sales,Sales Executive,2,Travel_Rarely,No,5576,22,0,9,0,10,10,8,4,0,3,2,3,3,4,1,3,No,0,26-35,Mid (3-6K),6-10 yrs,2-Medium,3-Better,2,Medium Risk
389,37,Female,Married,4,Technical Degree,Research & Development,Laboratory Technician,2,Travel_Frequently,Yes,6793,13,1,10,3,20,10,1,0,0,4,3,3,1,3,3,3,No,0,36-45,High (6-10K),6-10 yrs,3-High,1-Bad,2,Medium Risk
390,37,Female,Married,3,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,No,8406,21,0,24,3,25,25,0,0,1,2,3,1,1,3,2,3,No,0,36-45,High (6-10K),10+ yrs,3-High,1-Bad,3,Medium Risk
391,31,Female,Married,3,Human Resources,Human Resources,Human Resources,2,Travel_Rarely,No,15275,12,0,2,4,15,2,2,2,0,6,1,2,2,4,4,3,No,0,26-35,Very High (>10K),0-2 yrs,1-Low,2-Good,4,High Risk
392,32,Male,Married,3,Medical,Research & Development,Manager,3,Non-Travel,No,7400,22,2,5,0,11,0,0,0,0,1,2,4,3,3,3,3,No,0,26-35,High (6-10K),0-2 yrs,2-Medium,3-Better,2,Medium Risk
393,25,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,2,Non-Travel,No,5501,22,1,2,1,15,2,2,1,2,2,4,2,3,2,4,3,Yes,1,18-25,Mid (3-6K),0-2 yrs,4-Very High,3-Better,1,Low Risk
394,33,Female,Married,2,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,7356,13,0,1,3,13,9,0,0,1,2,3,3,1,1,3,3,No,0,26-35,High (6-10K),6-10 yrs,3-High,1-Bad,3,Medium Risk
395,43,Female,Single,3,Medical,Research & Development,Manager,5,Travel_Rarely,Yes,6784,20,1,4,3,6,4,0,0,2,5,2,2,4,4,4,3,No,0,36-45,High (6-10K),3-5 yrs,2-Medium,4-Best,2,Medium Risk
396,35,Male,Married,3,Medical,Human Resources,Human Resources,1,Non-Travel,No,8558,14,1,4,2,16,11,6,0,0,6,4,4,4,1,4,3,No,0,26-35,High (6-10K),10+ yrs,4-Very High,4-Best,0,Low Risk
397,46,Male,Single,4,Life Sciences,Human Resources,Human Resources,1,Travel_Rarely,No,1915,25,2,2,5,15,5,2,1,0,4,1,3,2,3,3,4,No,0,46-60,Low (<3K),3-5 yrs,1-Low,2-Good,2,Medium Risk
398,35,Female,Divorced,3,Human Resources,Research & Development,Manager,3,Travel_Rarely,No,5940,25,0,3,2,18,18,7,0,5,5,2,3,2,4,3,4,No,0,26-35,Mid (3-6K),10+ yrs,2-Medium,2-Good,3,Medium Risk
399,24,Male,Married,3,Marketing,Research & Development,Laboratory Technician,3,Travel_Rarely,No,6478,21,2,4,0,20,20,3,0,0,4,3,1,4,3,3,3,No,0,18-25,High (6-10K),10+ yrs,3-High,4-Best,0,Low Risk
400,42,Male,Married,2,Technical Degree,Research & Development,Laboratory Technician,1,Travel_Frequently,No,4704,12,1,29,3,4,0,0,0,0,5,2,1,3,2,2,3,Yes,1,36-45,Mid (3-6K),0-2 yrs,2-Medium,3-Better,3,Medium Risk
401,30,Male,Married,4,Medical,Sales,Sales Executive,3,Travel_Rarely,No,7867,12,1,13,1,14,4,4,1,3,2,3,2,2,1,4,4,No,0,26-35,High (6-10K),3-5 yrs,3-High,2-Good,1,Low Risk
402,34,Male,Divorced,4,Medical,Human Resources,Human Resources,1,Travel_Rarely,No,15563,13,3,1,5,14,6,0,0,0,3,1,2,3,1,3,3,No,0,26-35,Very High (>10K),6-10 yrs,1-Low,3-Better,1,Low Risk
403,48,Female,Single,3,Life Sciences,Research & Development,Manager,5,Travel_Rarely,Yes,5339,12,0,18,0,10,2,2,1,2,4,2,3,4,3,2,3,No,0,46-60,Mid (3-6K),0-2 yrs,2-Medium,4-Best,5,High Risk
404,26,Male,Married,3,Medical,Research & Development,Laboratory Technician,3,Non-Travel,No,7443,24,0,9,1,3,3,0,0,1,4,1,3,2,3,2,3,No,0,26-35,High (6-10K),3-5 yrs,1-Low,2-Good,3,Medium Risk
